City of Austin                          Travis County-    Austin Metro-Area1	
Year,   T.A.P.,	A.G.R,	F.P.P.,	 L.P.P., T.A.P., A.G.R., T.A.P., A.G.R.
1940,	  87930,	0,		0,	     0,  111053,    0,	 214603,	 0
1950,	 132459, 4.2%,		0,	     0,  160980, 3.8%,	 256645,   1.8%
1960,	 186545, 3.5%,		0,	     0,  212136, 2.8%,	 301261,   1.6%
1970,	 251808, 3.0%,		0,	     0,  295516, 3.4%,	 398938,   2.8%
1980,	 345890, 3.2%,		0,	     0,  419573, 3.6%,	 585051,   3.9%
1990,	 465622, 3.0%,		0,	     0,  576407, 3.2%,	 846227,   3.8%
2000,	 656562, 3.5%,		0,	     0,  812280, 3.5%,	1249763,   4.0%
2010,	 790390, 2.1%,		0,	     0, 1024266, 1.6%,	1716289,   0.6%
2011,	 807538, 2.2%,   794667, 12871, 1045894, 2.1%,	1780535,   3.7%
2012,	 823539, 2.0%,	 810251, 13288,	1067979, 2.1%,	1834586,   3.0%
2013,	 841488, 2.2%,	 827725, 13764,	1095041, 2.5%,	1883315,   2.7%
2014,	 859830, 2.2%,	 845569, 14261,	1122788, 2.5%,	1942467,   3.1%
2015,	 876867, 2.0%,	 862133, 14734,	1148867, 2.3%,	2002134,   3.1%
2016,	 896716, 2.3%,	 881422, 15294,	1178949, 2.6%,	2062016,   3.0%
2017,	 914484, 2.0%,	 898677, 15807,	1206333, 2.3%,	2115475,   2.6%
2018,	 928256, 1.5%,	 912041, 16214, 1231806, 2.1%,	2165497,   2.4%
2019,	 941847, 1.5%,	 924887, 16959,	1256776, 2.0%,	2227083,   2.8%
2020,	 961855, 2.1%,	 943549, 18306,	1290188, 2.7%,	2283371,   2.5%
2021,	 971474, 1.0%,	 951989, 19485,	1302956, 1.0%,	2335051    2.3%
2022,	 981610, 1.0%,	 960915, 20695,	1318775, 1.2%,	2386732,   2.2%
2023,   1009833, 2.9%,	 987508, 22325,	1336643, 1.4%,	2438412,   2.2%
2024,	1031505, 2.1%,	1007643, 23862,	1355887, 1.4%,	2490093,   2.1%
2025,	1049333, 1.7%,	1023982, 25351,	1376054, 1.5%,	2541773,   2.1%
2026,	1067127, 1.7%,	1040252, 26875,	1396841, 1.5%,	2593453,   2.0%
2027,	1084889, 1.7%,	1056454, 28435,	1418045, 1.5%,	2645134,   2.0%
2028,	1102618, 1.6%,	1072588, 30030,	1439528, 1.5%,	2696814,   2.0%
2029,	1120316, 1.6%,	1088655, 31661,	1461199, 1.5%,	2748495,   1.9%
2030,	1137983, 1.6%,	1104656, 33327,	1482996, 1.5%,	2800175,   1.9%
2035,	1225872, 1.4%,	1183686, 42186,	1592814, 1.4%,	3058577,   1.7%
2040,	1313065, 1.3%,	1261147, 51918,	1703024, 1.3%,	3316979,   1.6%
2045,	1399619, 1.2%,	1337103, 62516,	1813287, 1.2%,	3575381,   1.5%
2050,	1485582, 1.2%,	1411610, 73972,	1923558, 1.2%,	3833783,   1.4%
2055,	1570996, 1.1%,	1484716, 86280,	2033830, 1.1%,	4092185,   1.3%
2060,	1655896, 1.0%,	1556464, 99432,	2144103, 1.0%,	4350587,   1.2%
